program,gender,watIam,first_name,last_name,email,id,team number,group
AE/ARCH,F,afrazie,Angelia,Frazier,afrazie@edu.uwaterloo.ca,32924210,,1
AE/ARCH,F,anordas,Alta,Nordass,anordas@edu.uwaterloo.ca,75247541,,4
AE/ARCH,F,bcohane,Beulah,Cohane,bcohane@edu.uwaterloo.ca,79253995,,5
AE/ARCH,F,bdowthw,Byram,Dowthwaite,bdowthw@edu.uwaterloo.ca,71679671,,7
AE/ARCH,F,bwinney,Bernelle,Winney,bwinney@edu.uwaterloo.ca,20125937,,8
AE/ARCH,F,cledgew,Camila,Ledgeway,cledgew@edu.uwaterloo.ca,46551101,,10
AE/ARCH,F,crawlin,Clare,Rawling,crawlin@edu.uwaterloo.ca,14385321,,12
AE/ARCH,F,ctyne,Cyrillus,Tyne,ctyne@edu.uwaterloo.ca,22966482,,15
AE/ARCH,F,dball,Dominga,Ball,dball@edu.uwaterloo.ca,43259313,,16
AE/ARCH,F,dhasleh,Danika,Haslehurst,dhasleh@edu.uwaterloo.ca,78162769,,17
AE/ARCH,F,dlassey,Derril,Lassey,dlassey@edu.uwaterloo.ca,74489495,,18
AE/ARCH,F,dmaybey,Dewey,Maybey,dmaybey@edu.uwaterloo.ca,50837104,,1
AE/ARCH,F,evalens,Elfrieda,Valens-Smith,evalens@edu.uwaterloo.ca,35529545,,4
AE/ARCH,F,ghacon,Gardener,Hacon,ghacon@edu.uwaterloo.ca,97015768,,5
AE/ARCH,F,hmarget,Hedda,Margetson,hmarget@edu.uwaterloo.ca,86939418,,7
AE/ARCH,F,jbyneth,Jasun,Byneth,jbyneth@edu.uwaterloo.ca,24009272,,8
AE/ARCH,F,jgateho,Jarid,Gatehouse,jgateho@edu.uwaterloo.ca,43948377,,10
AE/ARCH,F,ktearle,Kally,Tearle,ktearle@edu.uwaterloo.ca,69130825,,12
AE/ARCH,F,ldiboll,Lucais,Diboll,ldiboll@edu.uwaterloo.ca,74425266,,15
AE/ARCH,F,lespino,Lilli,Espinos,lespino@edu.uwaterloo.ca,62058660,,16
AE/ARCH,F,lkinley,Lorrie,Kinleyside,lkinley@edu.uwaterloo.ca,55411034,,17
AE/ARCH,F,lsillwo,Leonelle,Sillwood,lsillwo@edu.uwaterloo.ca,74673293,,18
AE/ARCH,F,mchestn,Minor,Chestney,mchestn@edu.uwaterloo.ca,86142033,,1
AE/ARCH,F,mmccril,Mickey,McCrillis,mmccril@edu.uwaterloo.ca,46507600,,4
AE/ARCH,F,ndunden,Nissy,Dundendale,ndunden@edu.uwaterloo.ca,99170450,,5
AE/ARCH,F,nneubig,Noel,Neubigging,nneubig@edu.uwaterloo.ca,14118585,,7
AE/ARCH,F,ovedesh,Odille,Vedeshkin,ovedesh@edu.uwaterloo.ca,21414040,,8
AE/ARCH,F,qswindi,Quinlan,Swindin,qswindi@edu.uwaterloo.ca,95842863,,10
AE/ARCH,F,rwaight,Rochette,Waight,rwaight@edu.uwaterloo.ca,10640487,,12
AE/ARCH,F,sbellin,Seumas,Bellinger,sbellin@edu.uwaterloo.ca,50534808,,15
